episode,reward,avg_reward_100,epsilon
0.0,-348.8163236272942,-348.8163236272942,0.997
1.0,-136.9808869945955,-242.89860531094484,0.994009
2.0,-141.4245167806133,-209.07390913416768,0.991026973
3.0,3.3218638680455115,-155.97496588361437,0.988053892081
4.0,-433.3830039963581,-211.45657350616312,0.985089730404757
5.0,-348.5999739778397,-234.3138069181092,0.9821344612135428
6.0,-124.47572468302093,-218.62265231309658,0.9791880578299021
7.0,-85.21331870756894,-201.94648561240564,0.9762504936564125
8.0,-101.06129251051784,-190.7370197121959,0.9733217421754432
9.0,-69.5309496954035,-178.61641271051664,0.9704017769489168
10.0,-348.150330015813,-194.02858701099814,0.9674905716180701
11.0,-364.2578298298562,-208.214357245903,0.9645880999032158
12.0,-236.3658368687204,-210.37985567842742,0.9616943356035061
13.0,-136.05178440702045,-205.0707077304698,0.9588092525966956
14.0,-97.25286021620215,-197.8828512295186,0.9559328248389055
15.0,-387.2879862372919,-209.72067216750443,0.9530650263643888
16.0,-106.10726399689402,-203.62576580452733,0.9502058312852957
17.0,-23.223255609466477,-193.60340412702396,0.9473552137914398
18.0,-282.8901161120016,-198.30270475781225,0.9445131481500655
19.0,-155.86866406844422,-196.18100272334385,0.9416796087056153
20.0,-108.71099137606613,-192.01576408775918,0.9388545698794984
21.0,-101.81786641120058,-187.9158596479156,0.93603800616986
22.0,-101.81895710445953,-184.1725160590697,0.9332298921513504
23.0,-75.9539164357973,-179.66340774143336,0.9304302024748964
24.0,-242.85470446427738,-182.1910596103471,0.9276389118674717
25.0,-75.25703706582277,-178.07821258940388,0.9248559951318693
26.0,17.984489654685632,-170.81663102480798,0.9220814271464737
27.0,-136.13766747586055,-169.57809661234555,0.9193151828650342
28.0,-118.66258430138308,-167.82238929127791,0.9165572373164391
29.0,-284.5645822764079,-171.71379572411558,0.9138075656044898
30.0,-57.45654694905589,-168.0280780216943,0.9110661429076764
31.0,-63.836027620643655,-164.77207644666146,0.9083329444789534
32.0,-104.06255733825529,-162.93239404943702,0.9056079456455165
33.0,-309.4104133660861,-167.24057108816197,0.90289112180858
34.0,-154.36903970616436,-166.87281304867633,0.9001824484431542
35.0,-196.25555890023793,-167.68900043344195,0.8974819010978248
36.0,-102.41078480717508,-165.92472433543472,0.8947894553945313
37.0,-149.44176600258618,-165.490962274044,0.8921050870283477
38.0,-69.60114285421997,-163.03224895558697,0.8894287717672626
39.0,-74.96431360880204,-160.8305505719173,0.8867604854519608
40.0,-117.48628520867399,-159.7733733679358,0.884100203995605
41.0,-151.87490930010551,-159.5853146996541,0.8814479033836181
42.0,-120.63509756013595,-158.6794956964095,0.8788035596734672
43.0,-87.73730711178847,-157.0671732285772,0.8761671489944468
44.0,-94.11579513205375,-155.66825371532113,0.8735386475474635
45.0,-86.36880224770161,-154.16174390080766,0.8709180316048211
46.0,-104.40317557807441,-153.1030509577708,0.8683052775100066
47.0,-42.302547669668485,-150.79470713926867,0.8657003616774767
48.0,-89.95050950418369,-149.5529888201853,0.8631032605924442
49.0,-105.55558630491396,-148.6730407698799,0.860513950810667
50.0,-75.50638283708355,-147.23840041825642,0.857932408958235
51.0,-167.306832421112,-147.62433180292672,0.8553586117313603
52.0,-83.96240189058719,-146.42316331401466,0.8527925358961662
53.0,-10.588841401395015,-143.90771290822542,0.8502341582884777
54.0,-111.93513108077218,-143.32639323863535,0.8476834558136123
55.0,-133.03941305877606,-143.142697163995,0.8451404054461714
56.0,-83.12762051878514,-142.08980108250006,0.8426049842298329
57.0,-87.2430665543447,-141.14416772856634,0.8400771692771434
58.0,-123.3819525002702,-140.84311323317152,0.837556937769312
59.0,-89.49054553757155,-139.98723710491151,0.835044266956004
60.0,-161.02413640304977,-140.33210430652034,0.8325391341551359
61.0,-76.3803553741449,-139.30062448503043,0.8300415167526705
62.0,-46.39544094848401,-137.82593903206936,0.8275513922024125
63.0,-94.74089346648869,-137.15273519510714,0.8250687380258053
64.0,-133.62718869332184,-137.0984960181566,0.8225935318117279
65.0,-147.8434451212238,-137.26129827729395,0.8201257512162927
66.0,-94.61449930136571,-136.62477888959353,0.8176653739626438
67.0,-262.45025587797807,-138.47515355118745,0.8152123778407558
68.0,-68.87721274657,-137.46648774242487,0.8127667407072335
69.0,-88.41959103314288,-136.76581778943515,0.8103284404851119
70.0,-75.32460814882852,-135.90044863956746,0.8078974551636565
71.0,-130.16389660178754,-135.8207743057094,0.8054737627981655
72.0,-80.51332446796566,-135.0631380065622,0.803057341509771
73.0,-50.157961958878786,-133.9157707626746,0.8006481694852418
74.0,-99.16093082904906,-133.45237289689294,0.798246224976786
75.0,-87.26008922069012,-132.8445796906271,0.7958514863018556
76.0,-183.04120130099807,-133.49648386738517,0.79346393184295
77.0,-92.1173263156549,-132.96598184749118,0.7910835400474212
78.0,-95.37313194141781,-132.49012298792064,0.7887102894272789
79.0,-64.19333389409708,-131.63641312424784,0.7863441585589971
80.0,-44.643457500134744,-130.5624260177773,0.78398512608332
81.0,14.527381449195374,-128.7930381218386,0.7816331707050701
82.0,-83.77687448251996,-128.25067470449744,0.7792882711929549
83.0,-51.351291611155105,-127.33520585814813,0.776950406379376
84.0,-154.44449595251092,-127.6541386827877,0.7746195551602378
85.0,-71.19379595548514,-126.99762306967953,0.7722956964947572
86.0,-192.74574384571503,-127.75334859584086,0.7699788094052729
87.0,-106.28413573713111,-127.50938026790095,0.767668872977057
88.0,-100.44319357811472,-127.20526581071233,0.7653658663581259
89.0,-34.21400494007,-126.1720295788163,0.7630697687590515
90.0,-100.72877887403673,-125.8924334172253,0.7607805594527743
91.0,-107.41914148868011,-125.6916367658281,0.7584982177744161
92.0,-136.3222869826694,-125.80594483267585,0.7562227231210928
93.0,-60.38788625622459,-125.11000803930935,0.7539540549517295
94.0,-52.04152135231627,-124.3408660741831,0.7516921927868743
95.0,-48.33687028421903,-123.54915778470432,0.7494371162085136
96.0,-72.12719840462123,-123.01903449212614,0.747188804859888
97.0,-85.83282760634694,-122.63958340145493,0.7449472384453084
98.0,-211.2921297954586,-123.53506366806103,0.7427123967299725
99.0,-97.91296240391168,-123.27884265541954,0.7404842595397826
100.0,-46.31334666637326,-120.25381288581033,0.7382628067611632
101.0,-73.35556829671785,-119.61755969883156,0.7360480183408797
102.0,-71.42854221936189,-118.91759995321905,0.7338398742858571
103.0,-98.72493145244013,-119.9380679064239,0.7316383546629995
104.0,-105.61298117495255,-116.66036767820984,0.7294434395990105
105.0,-84.64097088390996,-114.02077764727052,0.7272551092802134
106.0,-2.5796191601940137,-112.80181659204226,0.7250733439523728
107.0,-75.30412386577899,-112.70272464362435,0.7228981239205157
108.0,-45.61116091468675,-112.14822332766606,0.7207294295487541
109.0,-45.26065461479199,-111.90552037685995,0.7185672412601078
110.0,-57.46632304155029,-108.99868030711733,0.7164115395363275
111.0,-53.5271585842285,-105.89137359466105,0.7142623049177186
112.0,-56.12600587068492,-104.08897528468069,0.7121195180029655
113.0,-86.88509849194436,-103.59730842552992,0.7099831594489566
114.0,-67.43802896777754,-103.29916011304569,0.7078532099706097
115.0,-13.731766259211327,-99.56359791326486,0.7057296503406979
116.0,-19.387205387019264,-98.69639732716614,0.7036124613896758
117.0,-93.1893079137138,-99.39605785020859,0.7015016240055068
118.0,-18.441372223147496,-96.75157041132006,0.6993971191334902
119.0,-65.59751411145146,-95.84885891175014,0.6972989277760897
120.0,-117.91694254638597,-95.94091842345333,0.6952070309927615
121.0,-74.28748059803969,-95.66561456532172,0.6931214098997832
122.0,-56.309259045481554,-95.21051758473193,0.6910420456700839
123.0,-52.58052554829801,-94.97678367585694,0.6889689195330736
124.0,-61.76871398629231,-93.16592377107709,0.6869020127744744
125.0,-53.280776269990795,-92.94616116311877,0.684841306736151
126.0,-21.441973493086522,-93.34042579459648,0.6827867828159425
127.0,-55.29069289143915,-92.53195604875229,0.6807384224674947
128.0,-46.39351907478276,-91.8092653964863,0.6786962072000923
129.0,-133.2304967954376,-90.29592454167661,0.676660118578492
130.0,-62.714112555268215,-90.3485001977387,0.6746301382227565
131.0,-37.62813776278004,-90.08642129916007,0.6726062478080883
132.0,-91.78848209000944,-89.9636805466776,0.6705884290646641
133.0,-67.00732035062566,-87.53964961652301,0.66857666377747
134.0,-25.577540298361953,-86.25173462244497,0.6665709337861376
135.0,-47.75337421522167,-84.76671277559481,0.6645712209847792
136.0,-25.61666262584295,-83.9987715537815,0.6625775073218249
137.0,-61.4681320350866,-83.1190352141065,0.6605897747998594
138.0,-83.6687149707502,-83.2597109352718,0.6586080054754598
139.0,-64.12879073218446,-83.15135570650563,0.6566321814590335
140.0,-61.53857852772086,-82.59187863969609,0.6546622849146564
141.0,-48.56437843325578,-81.55877333102761,0.6526982980599124
142.0,1.1747111346125507,-80.34067524408012,0.6507402031657327
143.0,-42.056096832873024,-79.88386314129097,0.6487879825562355
144.0,-58.540872875025556,-79.52811391872068,0.6468416186085668
145.0,-62.322720096989364,-79.28765309721354,0.6449010937527411
146.0,27.797725984799357,-77.9656440815848,0.6429663904714829
147.0,-33.28813532171648,-77.87549995810528,0.6410374913000684
148.0,-20.461550862834272,-77.18061037169178,0.6391143788261682
149.0,-72.00464877075746,-76.84510099635023,0.6371970356896897
150.0,-88.61138027445952,-76.97615097072399,0.6352854445826206
151.0,-56.99335136793097,-75.87301616019218,0.6333795882488727
152.0,-182.49493984892365,-76.85834153977555,0.6314794494841262
153.0,-22.437211575191938,-76.97682524151351,0.6295850111356738
154.0,-49.95474748342539,-76.35702140554004,0.6276962561022668
155.0,-28.786693144441358,-75.3144942063967,0.62581316733396
156.0,-74.35249734271696,-75.22674297463601,0.623935727831958
157.0,-72.24225028691718,-75.07673481196174,0.6220639206484622
158.0,-45.97845129352713,-74.30269979989431,0.6201977288865168
159.0,-32.22300924939361,-73.73002443701255,0.6183371356998573
160.0,-63.01362808275036,-72.74991935380955,0.6164821242927577
161.0,-19.71015419360414,-72.18321734200414,0.6146326779198794
162.0,-10.291520539629417,-71.82217813791559,0.6127887798861198
163.0,-25.548329238763188,-71.13025249563835,0.6109504135464614
164.0,-4.624870771303478,-69.84022931641816,0.609117562305822
165.0,-54.39964039543224,-68.90579126916023,0.6072902096189046
166.0,-32.297100479847884,-68.28261728094508,0.6054683389900478
167.0,-21.597030092133423,-65.87408502308662,0.6036519339730777
168.0,-44.58382974487591,-65.63115119306967,0.6018409781711584
169.0,-21.407722015249703,-64.96103250289075,0.6000354552366449
170.0,-45.70063982559485,-64.66479281965839,0.598235348870935
171.0,-30.14733935157085,-63.66462724715623,0.5964406428243222
172.0,-64.72092201372293,-63.506703222613794,0.5946513208958493
173.0,-12.177365288634874,-63.12689725591136,0.5928673669331617
174.0,-55.904834622655905,-62.69433629384743,0.5910887648323622
175.0,-20.928556033703046,-62.03102096197755,0.5893154985378651
176.0,-31.990311329310288,-60.520512062260686,0.5875475520422515
177.0,-51.308800460758434,-60.11242680371171,0.5857849093861247
178.0,-12.660679040127818,-59.285302274698815,0.5840275546579663
179.0,-48.06068490501349,-59.12397578480798,0.5822754719939924
180.0,-44.23747305593727,-59.119915940366006,0.5805286455780104
181.0,-43.56829106304397,-59.700872665488404,0.5787870596412764
182.0,-79.92301959697075,-59.66233411663291,0.5770506984623526
183.0,-56.015040611565965,-59.708971606637014,0.5753195463669655
184.0,-13.879726553428142,-58.30332391264619,0.5735935877278646
185.0,-24.190308202741306,-57.83328903511875,0.571872806964681
186.0,14.654795009750572,-55.7592836465641,0.5701571885437869
187.0,-73.74995645255504,-55.433941853718345,0.5684467169781556
188.0,-13.362346592645011,-54.563133383863644,0.5667413768272211
189.0,-47.93713363318391,-54.70036467079479,0.5650411526967395
190.0,35.43406245861979,-53.338736257468206,0.5633460292386493
191.0,-42.17352073341057,-52.686280049915524,0.5616559911509333
192.0,-31.259840666541493,-51.63565558675424,0.5599710231774805
193.0,-8.445981102845167,-51.116236535220445,0.5582911101079481
194.0,-1.9132366858373473,-50.61495368855566,0.5566162367776242
195.0,-29.09868515058352,-50.422571837219294,0.5549463880672914
196.0,-29.64825278545463,-49.99778238102765,0.5532815489030894
197.0,-32.95311800110433,-49.468985284975204,0.5516217042563801
198.0,54.83315367494765,-46.80773245027116,0.549966839143611
199.0,-45.223745581709146,-46.28084028204913,0.5483169386261801
200.0,-188.7017672302017,-47.704724487687415,0.5466719878103016
201.0,-40.23625923779318,-47.37353139709816,0.5450319718468707
202.0,14.904667600262655,-46.51019929890192,0.5433968759313301
203.0,-71.2233104720679,-46.23518308909819,0.5417666853035361
204.0,-169.1606647695795,-46.870659925044464,0.5401413852476254
205.0,-54.93379314469039,-46.57358814765227,0.5385209610918825
206.0,-135.84043945207281,-47.90619635057107,0.5369053982086068
207.0,-46.8382788917239,-47.62153790083052,0.535294682013981
208.0,7.825341966256957,-47.08717287202107,0.5336887979679391
209.0,5.868630907788699,-46.575880016795274,0.5320877315740353
210.0,-49.774610695532026,-46.49896289333508,0.5304914683793133
211.0,-16.192505864931448,-46.12561636614211,0.5288999939741753
212.0,-30.905810702239478,-45.873414414457656,0.5273132939922528
213.0,-30.53524179145046,-45.309915847452714,0.525731354110276
214.0,4.788402338383946,-44.587651534391085,0.5241541600479452
215.0,-52.8068852089183,-44.978402723888166,0.5225816975678014
216.0,7.073186855002348,-44.71379880146796,0.521013952475098
217.0,-34.32008869114709,-44.125106609242295,0.5194509106176727
218.0,12.381429326255144,-43.81687859374827,0.5178925578858197
219.0,-24.07686432984265,-43.401672095932184,0.5163388802121622
220.0,-68.76183975520661,-42.91012106802039,0.5147898635715258
221.0,32.99500434536563,-41.837296218586324,0.5132454939808112
222.0,-48.18458311271452,-41.756049459258655,0.5117057574988688
223.0,-82.56312498695478,-42.05587545364522,0.5101706402263723
224.0,-49.61998156102602,-41.93438812939255,0.5086401283056932
225.0,-26.530795072211745,-41.66688831741476,0.5071142079207761
226.0,-9.035342795472957,-41.542822010438634,0.5055928652970137
227.0,-222.38147917743055,-43.21372987329855,0.5040760867011227
228.0,-39.524783515755956,-43.14504251770827,0.5025638584410194
229.0,-74.02660558712898,-42.55300360562519,0.5010561668656963
230.0,-7.569204831608971,-42.001554528388596,0.49955299836509925
231.0,-6.389413125139441,-41.689167282012185,0.49805433937000393
232.0,-16.301974871893435,-40.93430220983103,0.4965601763518939
233.0,-44.11500965712321,-40.70537910289601,0.49507049582283824
234.0,-50.90513607309467,-40.95865506064334,0.49358528433536975
235.0,-41.92874619676236,-40.90040878045874,0.49210452848236363
236.0,-20.194507277306997,-40.846187226973385,0.49062821489691655
237.0,-27.36907351008479,-40.505196641723366,0.4891563302522258
238.0,-31.97937551981485,-39.98830324721401,0.48768886126146915
239.0,-45.728009109087125,-39.80429543098304,0.48622579467768473
240.0,-22.00138921371169,-39.408923537842945,0.4847671172936517
241.0,-67.85653657421915,-39.60184511925258,0.4833128159417707
242.0,-18.124449600253627,-39.79483672660124,0.4818628774939454
243.0,10.693354738905555,-39.26734221088346,0.48041728886146357
244.0,-56.909579666387074,-39.25102927879707,0.4789760369948792
245.0,35.280956028618675,-38.274992517540994,0.47753910888389456
246.0,-54.54806599698924,-39.098450437358885,0.4761064915572429
247.0,-17.657924976645134,-38.942148333908165,0.4746781720825711
248.0,22.243132129280525,-38.51510150398702,0.4732541375663234
249.0,-53.35165959348206,-38.32857161221426,0.4718343751536244
250.0,-32.24174098121391,-37.764875219281805,0.47041887202816357
251.0,-57.97700711320195,-37.77471177673451,0.4690076154120791
252.0,5.720709783325688,-35.892555280412026,0.46760059256584285
253.0,-38.92939509092545,-36.057477115569355,0.4661977907881453
254.0,-46.658113526107414,-36.024510775996184,0.4647991974157809
255.0,-142.47250867206964,-37.16136893127246,0.46340479982353355
256.0,-45.24199988884264,-36.87026395673372,0.46201458542406293
257.0,4.487606071631632,-36.10296539314823,0.4606285416677907
258.0,-13.803344561705615,-35.781214325830014,0.45924665604278736
259.0,-72.35619035011814,-36.18254613683726,0.457868916074659
260.0,-68.78615627784862,-36.24027141878824,0.45649530932643506
261.0,17.422611544331403,-35.86894376140888,0.45512582339845575
262.0,-8.736314540980473,-35.853391701422396,0.45376044592826037
263.0,-32.61840565317142,-35.92409246556648,0.4523991645904756
264.0,-53.283931895310516,-36.41068307680655,0.45104196709670413
265.0,-47.63155330563846,-36.34300220590862,0.449688841195414
266.0,-102.08332507266867,-37.04086445183682,0.4483397746718278
267.0,-32.07180693484709,-37.14561222026396,0.4469947553478123
268.0,-39.724531929236036,-37.097019242107564,0.44565377108176885
269.0,-174.83952682024315,-38.6313372901575,0.44431680976852356
270.0,-15.686876543255792,-38.3311996573341,0.44298385933921797
271.0,-33.63539868341029,-38.3660802506525,0.4416549077612003
272.0,-54.18630750500358,-38.260734105565305,0.4403299430379167
273.0,-290.4822693720557,-41.04378314639951,0.43900895320880295
274.0,-22.476391380925776,-40.70949871398221,0.43769192634917653
275.0,-22.540940978573985,-40.72562256343092,0.436378850570129
276.0,-1.2763002772360608,-40.418482452910176,0.4350697140184186
277.0,1.962319803296964,-39.88577125026962,0.43376450487636337
278.0,-42.92714483019118,-40.188435908170256,0.43246321136173427
279.0,19.776094575410625,-39.51006811336602,0.43116582172764906
280.0,0.9276497185511943,-39.058416885621135,0.42987232426246613
281.0,-76.40264299009905,-39.38676040489168,0.42858270728967873
282.0,19.642406895997993,-38.39110613996199,0.4272969591678097
283.0,-50.35568330133834,-38.334512566859715,0.4260150682903063
284.0,-74.87279282813944,-38.94444322960683,0.4247370230854354
285.0,41.944931834745546,-38.283090829231966,0.4234628120161791
286.0,-17.838189699249867,-38.60802067632197,0.42219242358013054
287.0,-40.95261824797498,-38.280047294276166,0.4209258463093902
288.0,-35.10976773667362,-38.49752150571645,0.419663068770462
289.0,14.757443880149978,-37.87057573058312,0.4184040795641506
290.0,-99.95880938088064,-39.224504448978124,0.41714886732545814
291.0,-35.285204478241496,-39.15562128642644,0.41589742072348174
292.0,5.8907707317607105,-38.7841151724434,0.4146497284613113
293.0,-13.10615886260777,-38.83071695004103,0.41340577927592737
294.0,-40.58508466980133,-39.21743542988067,0.41216556193809956
295.0,-46.90194197962293,-39.395467998171064,0.41092906525228523
296.0,-52.83231669964012,-39.627308637312915,0.40969627805652836
297.0,-40.35656277267664,-39.70134308502864,0.40846718922235875
298.0,-45.57392590678347,-40.70541388084595,0.40724178765469166
299.0,-32.64281486642629,-40.57960457369313,0.4060200622917276
300.0,-25.56573339744081,-38.94824423536552,0.4048020021048524
301.0,-42.60426237095656,-38.97192426669715,0.40358759609853784
302.0,-39.07702272687277,-39.5117411699685,0.4023768333102422
303.0,-14.512985127674622,-38.94463791652458,0.4011697028103115
304.0,-29.636211815226616,-37.549393386981045,0.3999661937018806
305.0,32.787781781258815,-36.67217763772155,0.39876629512077494
306.0,-73.87989325110857,-36.05257217571191,0.3975699962354126
307.0,-26.30995808374604,-35.84728896763213,0.3963772862467064
308.0,-5.593475673049184,-35.9814771440252,0.39518815438796623
309.0,25.77458845826459,-35.78241756852044,0.3940025899248023
310.0,8.727988365415698,-35.19739157791096,0.3928205821550279
311.0,-24.421747409311124,-35.27968399335476,0.39164212040856283
312.0,5.9395811859906615,-34.91123007447245,0.39046719404733715
313.0,-9.372951407505056,-34.699607170632994,0.38929579246519513
314.0,-44.60631255322161,-35.19355431954905,0.38812790508779954
315.0,-48.706384416653606,-35.1525493116264,0.38696352137253615
316.0,-57.80891637686408,-35.80137034394507,0.38580263080841853
317.0,-31.911175725104158,-35.77728121428464,0.3846452229159933
